Site,Date,Time Trap set day before,Time Trap Checked,Addition Time for each trap,Minutes Trap open,Hours Trap open,Time Trap Start check,End Time,Trap,Wpt,Depth,Substrate,Structure at trap,Density of Structure,Log or Ledge,Spp,sex,Stage,Total L,Wt,SVL,VTL,Photo #,comment,Wpt,,,Trap Set Time,,UTM N,UTM E,Latitude,Longitude
LS4,41036,41035.69583,41036.46729,,1110.9,18.515,0.4375,0.645833333,7,20,105,m,not recorded,,,RAAU,,l,26,,,,,,20,20,41035,0.69599537,U,5430627,313826,49.0004057,-125.5454975
LS4,41036,41035.69583,41036.46729,0.004965278,1110.9,18.515,0.4375,0.645833333,7,20,105,m,not recorded,,,CORIXID,,,,,,,4756,,20,20,41035,0.69599537,U,5430627,313826,49.0004057,-125.5454975
LS4,41036,41035.69792,41036.47226,0.004965278,1115.05,18.58416667,0.4375,0.645833333,8,21,83,m,watershield,,beside log,NONE,,,,,,,,,21,21,41035,0.698425926,U,5430625,313826,49.00038773,-125.5454966
LS4,41036,41035.7,41036.47722,0.004965278,1119.2,18.65333333,0.4375,0.645833333,9,22,72,m,grass,,under log,CCT,,,245,300,,,4757to4763,,22,22,41035,0.700428241,U,5430624,313828,49.00037935,-125.5454688
LS4,41036,41035.70208,41036.48219,,1123.35,18.7225,0.4375,0.645833333,10,23,74,m,grass,,,TAGR,,a,155,10,65,90,4764,,23,23,41035,0.702581019,U,5430637,313834,49.00049799,-125.5453928
LS4,41036,41035.70208,41036.48219,0.004965278,1123.35,18.7225,0.4375,0.645833333,10,23,74,m,grass,,,UNSA,,l,15,,,,,tiny juvenile,23,23,41035,0.702581019,U,5430637,313834,49.00049799,-125.5453928
LS4,41036,41035.70556,41036.48715,,1125.5,18.75833333,0.4375,0.645833333,11,24,82,m,open,,beside ledge,TSB,,,40,,,,,,24,24,41035,0.705752315,U,5430635,313842,49.00048243,-125.5452826
LS4,41036,41035.70556,41036.48715,,1125.5,18.75833333,0.4375,0.645833333,11,24,82,m,open,,beside ledge,TSB,,,55,,,,,,24,24,41035,0.705752315,U,5430635,313842,49.00048243,-125.5452826
LS4,41036,41035.70556,41036.48715,,1125.5,18.75833333,0.4375,0.645833333,11,24,82,m,open,,beside ledge,TSB,,,39,,,,,,24,24,41035,0.705752315,U,5430635,313842,49.00048243,-125.5452826
LS4,41036,41035.70556,41036.48715,,1125.5,18.75833333,0.4375,0.645833333,11,24,82,m,open,,beside ledge,TSB,,,39,,,,,,24,24,41035,0.705752315,U,5430635,313842,49.00048243,-125.5452826
LS4,41036,41035.70556,41036.48715,,1125.5,18.75833333,0.4375,0.645833333,11,24,82,m,open,,beside ledge,RAAU,,l,25,,,,,,24,24,41035,0.705752315,U,5430635,313842,49.00048243,-125.5452826
LS4,41036,41035.70556,41036.48715,,1125.5,18.75833333,0.4375,0.645833333,11,24,82,m,open,,beside ledge,RAAU,,l,20,,,,,bite taken out of top of tail,24,24,41035,0.705752315,U,5430635,313842,49.00048243,-125.5452826
LS4,41036,41035.70556,41036.48715,0.004965278,1125.5,18.75833333,0.4375,0.645833333,11,24,82,m,open,,beside ledge,RAAU,,l,25,,,,,,24,24,41035,0.705752315,U,5430635,313842,49.00048243,-125.5452826
LS4,41036,41035.70903,41036.49212,,1127.65,18.79416667,0.4375,0.645833333,12,25,76,m,open,,,TSB,,,48,,,,,,25,25,41035,0.709050926,U,5430622,313842,49.0003656,-125.5452767
LS4,41036,41035.70903,41036.49212,,1127.65,18.79416667,0.4375,0.645833333,12,25,76,m,open,,,AMGR,,l,55,2,12,,,,25,25,41035,0.709050926,U,5430622,313842,49.0003656,-125.5452767
LS4,41036,41035.70903,41036.49212,,1127.65,18.79416667,0.4375,0.645833333,12,25,76,m,open,,,TSB,,,49,,,,,,25,25,41035,0.709050926,U,5430622,313842,49.0003656,-125.5452767
LS4,41036,41035.70903,41036.49212,,1127.65,18.79416667,0.4375,0.645833333,12,25,76,m,open,,,TSB,,,32,,,,,,25,25,41035,0.709050926,U,5430622,313842,49.0003656,-125.5452767
LS4,41036,41035.70903,41036.49212,0.004965278,1127.65,18.79416667,0.4375,0.645833333,12,25,76,m,open,,,RAAU,,l,27,,,,,,25,25,41035,0.709050926,U,5430622,313842,49.0003656,-125.5452767
LS4,41036,41035.71111,41036.49708,0.004965278,1131.8,18.86333333,0.4375,0.645833333,13,26,100,m,lily,,beside log,TSB,,,64,2,,,,,26,26,41035,0.711759259,U,5430634,313840,49.00047284,-125.5453095
LS4,41036,41035.71806,41036.50205,,1128.95,18.81583333,0.4375,0.645833333,14,27,80,m,open,,under log,AMGR,,l,66,2,12,,,,27,27,41035,0.718159722,U,5430637,313840,49.0004998,-125.5453109
LS4,41036,41035.71806,41036.50205,0.004965278,1128.95,18.81583333,0.4375,0.645833333,14,27,80,m,open,,under log,RAAU,,l,26,,,,,,27,27,41035,0.718159722,U,5430637,313840,49.0004998,-125.5453109
LS4,41036,41035.72083,41036.50701,,1132.1,18.86833333,0.4375,0.645833333,15,28,69,m,"lily, grass",sparse,,RAAU,,l,26,,,,,,28,28,41035,0.721203704,U,5430637,313859,49.00050554,-125.5450513
LS4,41036,41035.72083,41036.50701,,1132.1,18.86833333,0.4375,0.645833333,15,28,69,m,"lily, grass",sparse,,RAAU,,l,26,,,,,,28,28,41035,0.721203704,U,5430637,313859,49.00050554,-125.5450513
LS4,41036,41035.72083,41036.50701,,1132.1,18.86833333,0.4375,0.645833333,15,28,69,m,"lily, grass",sparse,,RAAU,,l,25,,,,,,28,28,41035,0.721203704,U,5430637,313859,49.00050554,-125.5450513
LS4,41036,41035.72083,41036.50701,,1132.1,18.86833333,0.4375,0.645833333,15,28,69,m,"lily, grass",sparse,,RAAU,,l,26,,,,,,28,28,41035,0.721203704,U,5430637,313859,49.00050554,-125.5450513
LS4,41036,41035.72083,41036.50701,,1132.1,18.86833333,0.4375,0.645833333,15,28,69,m,"lily, grass",sparse,,RAAU,,l,20,,,,,missing a bit of its tail,28,28,41035,0.721203704,U,5430637,313859,49.00050554,-125.5450513
LS4,41036,41035.72083,41036.50701,,1132.1,18.86833333,0.4375,0.645833333,15,28,69,m,"lily, grass",sparse,,RAAU,,l,26,,,,,,28,28,41035,0.721203704,U,5430637,313859,49.00050554,-125.5450513
LS4,41036,41035.72083,41036.50701,,1132.1,18.86833333,0.4375,0.645833333,15,28,69,m,"lily, grass",sparse,,RAAU,,l,25,,,,,,28,28,41035,0.721203704,U,5430637,313859,49.00050554,-125.5450513
LS4,41036,41035.72083,41036.50701,0.004965278,1132.1,18.86833333,0.4375,0.645833333,15,28,69,m,"lily, grass",sparse,,RAAU,,l,24,,,,,,28,28,41035,0.721203704,U,5430637,313859,49.00050554,-125.5450513
LS4,41036,41035.72292,41036.51198,,1136.25,18.9375,0.4375,0.645833333,16,29,75,m,grass,sparse,,TSB,,,44,2,,,,,29,29,41035,0.72306713,U,5430632,313857,49.00046001,-125.5450764
LS4,41036,41035.72292,41036.51198,,1136.25,18.9375,0.4375,0.645833333,16,29,75,m,grass,sparse,,TSB,,,34,,,,,,29,29,41035,0.72306713,U,5430632,313857,49.00046001,-125.5450764
LS4,41036,41035.72292,41036.51198,,1136.25,18.9375,0.4375,0.645833333,16,29,75,m,grass,sparse,,AMGR,,l,58,1,15,,,,29,29,41035,0.72306713,U,5430632,313857,49.00046001,-125.5450764
LS4,41036,41035.72292,41036.51198,,1136.25,18.9375,0.4375,0.645833333,16,29,75,m,grass,sparse,,RAAU,,l,27,,,,,,29,29,41035,0.72306713,U,5430632,313857,49.00046001,-125.5450764
LS4,41036,41035.72292,41036.51198,,1136.25,18.9375,0.4375,0.645833333,16,29,75,m,grass,sparse,,RAAU,,l,29,,,,,,29,29,41035,0.72306713,U,5430632,313857,49.00046001,-125.5450764
LS4,41036,41035.72292,41036.51198,,1136.25,18.9375,0.4375,0.645833333,16,29,75,m,grass,sparse,,RAAU,,l,30,,,,,,29,29,41035,0.72306713,U,5430632,313857,49.00046001,-125.5450764
LS4,41036,41035.72292,41036.51198,,1136.25,18.9375,0.4375,0.645833333,16,29,75,m,grass,sparse,,RAAU,,l,23,,,,,,29,29,41035,0.72306713,U,5430632,313857,49.00046001,-125.5450764
LS4,41036,41035.72292,41036.51198,,1136.25,18.9375,0.4375,0.645833333,16,29,75,m,grass,sparse,,RAAU,,l,27,,,,,,29,29,41035,0.72306713,U,5430632,313857,49.00046001,-125.5450764
LS4,41036,41035.72292,41036.51198,0.004965278,1136.25,18.9375,0.4375,0.645833333,16,29,75,m,grass,sparse,,RAAU,,l,28,,,,,,29,29,41035,0.72306713,U,5430632,313857,49.00046001,-125.5450764
LS4,41036,41035.72569,41036.51694,0.004965278,1139.4,18.99,0.4375,0.645833333,17,30,95,m,lily,sparse,,ODONATE,,n,,,,,,,30,30,41035,0.726261574,U,5430644,313864,49.00056996,-125.5449863
LS4,41036,41035.72778,41036.52191,,1143.55,19.05916667,0.4375,0.645833333,18,31,90,m,dead grass,,,RAAU,,l,24,,,,,,31,31,41035,0.728252315,U,5430642,313869,49.0005535,-125.544917
LS4,41036,41035.72778,41036.52191,0.004965278,1143.55,19.05916667,0.4375,0.645833333,18,31,90,m,dead grass,,,AMPHIPOD,,,,,,,,,31,31,41035,0.728252315,U,5430642,313869,49.0005535,-125.544917
LS4,41036,41035.73194,41036.52687,,1144.7,19.07833333,0.4375,0.645833333,19,32,87,m,"dead grass, watershield",sparse,,RAAU,,l,26,,,,,,32,32,41035,0.731990741,U,5430646,313861,49.00058703,-125.5450281
LS4,41036,41035.73194,41036.52687,,1144.7,19.07833333,0.4375,0.645833333,19,32,87,m,"dead grass, watershield",sparse,,RAAU,,l,28,,,,,,32,32,41035,0.731990741,U,5430646,313861,49.00058703,-125.5450281
LS4,41036,41035.73194,41036.52687,,1144.7,19.07833333,0.4375,0.645833333,19,32,87,m,"dead grass, watershield",sparse,,RAAU,,l,24,,,,,,32,32,41035,0.731990741,U,5430646,313861,49.00058703,-125.5450281
LS4,41036,41035.73194,41036.52687,0.004965278,1144.7,19.07833333,0.4375,0.645833333,19,32,87,m,"dead grass, watershield",sparse,,RAAU,,l,24,,,,,,32,32,41035,0.731990741,U,5430646,313861,49.00058703,-125.5450281
LS4,41036,41035.73889,41036.53184,,1141.85,19.03083333,0.4375,0.645833333,20,33,78,m,"dead grass, watershield",,,TSB,,,55,3,,,,,33,33,41035,0.738981481,U,5430658,313871,49.00069789,-125.5448971
LS4,41036,41035.73889,41036.53184,,1141.85,19.03083333,0.4375,0.645833333,20,33,78,m,"dead grass, watershield",,,TSB,,,41,1,,,,,33,33,41035,0.738981481,U,5430658,313871,49.00069789,-125.5448971
LS4,41036,41035.73889,41036.53184,,1141.85,19.03083333,0.4375,0.645833333,20,33,78,m,"dead grass, watershield",,,TSB,,,48,3,,,,,33,33,41035,0.738981481,U,5430658,313871,49.00069789,-125.5448971
LS4,41036,41035.73889,41036.53184,,1141.85,19.03083333,0.4375,0.645833333,20,33,78,m,"dead grass, watershield",,,RAAU,,l,,,,,,,33,33,41035,0.738981481,U,5430658,313871,49.00069789,-125.5448971
LS4,41036,41035.73889,41036.53184,,1141.85,19.03083333,0.4375,0.645833333,20,33,78,m,"dead grass, watershield",,,RAAU,,l,,,,,,,33,33,41035,0.738981481,U,5430658,313871,49.00069789,-125.5448971
LS4,41036,41035.73889,41036.53184,,1141.85,19.03083333,0.4375,0.645833333,20,33,78,m,"dead grass, watershield",,,RAAU,,l,,,,,,,33,33,41035,0.738981481,U,5430658,313871,49.00069789,-125.5448971
LS4,41036,41035.73889,41036.53184,0.004965278,1141.85,19.03083333,0.4375,0.645833333,20,33,78,m,"dead grass, watershield",,,DIVING BEETLE,,,,,,,4770,,33,33,41035,0.738981481,U,5430658,313871,49.00069789,-125.5448971
LS4,41036,41035.74167,41036.53681,,1145,19.08333333,0.4375,0.645833333,21,34,76,m,"lily, grass",sparse,,TSB,,,50,3,,,,,34,34,41035,0.741793981,U,5430654,313874,49.00066285,-125.5448542
LS4,41036,41035.74167,41036.53681,,1145,19.08333333,0.4375,0.645833333,21,34,76,m,"lily, grass",sparse,,RAAU,,,,,,,,,34,34,41035,0.741793981,U,5430654,313874,49.00066285,-125.5448542
LS4,41036,41035.74167,41036.53681,,1145,19.08333333,0.4375,0.645833333,21,34,76,m,"lily, grass",sparse,,RAAU,,,,,,,,missing piece from tail,34,34,41035,0.741793981,U,5430654,313874,49.00066285,-125.5448542
LS4,41036,41035.74167,41036.53681,0.004965278,1145,19.08333333,0.4375,0.645833333,21,34,76,m,"lily, grass",sparse,,AMGR,,,70,1,35,35,,,34,34,41035,0.741793981,U,5430654,313874,49.00066285,-125.5448542
LS4,41036,41035.74375,41036.54177,,1149.15,19.1525,0.4375,0.645833333,22,35,67,m,"lily, grass",sparse,,RAAU,,l,,,,,,,35,35,41035,0.744247685,U,5430662,313885,49.00073807,-125.5447077
LS4,41036,41035.74375,41036.54177,0.004965278,1149.15,19.1525,0.4375,0.645833333,22,35,67,m,"lily, grass",sparse,,RAAU,,l,,,,,,,35,35,41035,0.744247685,U,5430662,313885,49.00073807,-125.5447077
LS4,41036,41035.74583,41036.54674,0.004965278,1153.3,19.22166666,0.4375,0.645833333,23,36,68,m,lily,sparse,under log,NONE,,,,,,,,,36,36,41035,0.745983796,U,5430662,313888,49.00073898,-125.5446667
LS4,41036,41035.74722,41036.5517,0.004965278,1158.45,19.3075,0.4375,0.645833333,24,37,62,m,lily,sparse,under log,TSB,,,44,1.5,,,,,37,37,41035,0.747789352,U,5430664,313903,49.00076148,-125.5444627
LS4,41036,41035.75,41036.55667,,1161.6,19.36,0.4375,0.645833333,25,38,91,m,"grass, watershield",,,TSB,,,41,2,,,,,38,38,41035,0.75037037,U,5430685,313884,49.00094446,-125.5447319
LS4,41036,41035.75,41036.55667,0.004965278,1161.6,19.36,0.4375,0.645833333,25,38,91,m,"grass, watershield",,,RAAU,,l,,,,,,,38,38,41035,0.75037037,U,5430685,313884,49.00094446,-125.5447319
LS4,41036,41035.75278,41036.56163,,1164.75,19.4125,0.4375,0.645833333,26,39,100,m,open,,,TSB,,,30,0.5,,,,,39,39,41035,0.752789352,U,5430680,313867,49.00089439,-125.5449618
LS4,41036,41035.75278,41036.56163,,1164.75,19.4125,0.4375,0.645833333,26,39,100,m,open,,,RAAU,,l,,,,,,,39,39,41035,0.752789352,U,5430680,313867,49.00089439,-125.5449618
LS4,41036,41035.75278,41036.56163,,1164.75,19.4125,0.4375,0.645833333,26,39,100,m,open,,,RAAU,,l,,,,,,,39,39,41035,0.752789352,U,5430680,313867,49.00089439,-125.5449618
LS4,41036,41035.75278,41036.56163,0.004965278,1164.75,19.4125,0.4375,0.645833333,26,39,100,m,open,,,RAAU,,l,,,,,,,39,39,41035,0.752789352,U,5430680,313867,49.00089439,-125.5449618
LS4,41036,41035.75486,41036.5666,,1168.9,19.48166666,0.4375,0.645833333,27,40,90,m,open,,,TSB,,,45,1,,,,,40,40,41035,0.755150463,U,5430690,313855,49.00098063,-125.5451303
LS4,41036,41035.75486,41036.5666,,1168.9,19.48166666,0.4375,0.645833333,27,40,90,m,open,,,TSB,,,64,4,,,,,40,40,41035,0.755150463,U,5430690,313855,49.00098063,-125.5451303
LS4,41036,41035.75486,41036.5666,,1168.9,19.48166666,0.4375,0.645833333,27,40,90,m,open,,,TSB,,,44,1,,,,,40,40,41035,0.755150463,U,5430690,313855,49.00098063,-125.5451303
LS4,41036,41035.75486,41036.5666,,1168.9,19.48166666,0.4375,0.645833333,27,40,90,m,open,,,TSB,,,42,0.5,,,,,40,40,41035,0.755150463,U,5430690,313855,49.00098063,-125.5451303
LS4,41036,41035.75486,41036.5666,,1168.9,19.48166666,0.4375,0.645833333,27,40,90,m,open,,,RAAU,,l,,,,,,,40,40,41035,0.755150463,U,5430690,313855,49.00098063,-125.5451303
LS4,41036,41035.75486,41036.5666,,1168.9,19.48166666,0.4375,0.645833333,27,40,90,m,open,,,RAAU,,l,,,,,,,40,40,41035,0.755150463,U,5430690,313855,49.00098063,-125.5451303
LS4,41036,41035.75486,41036.5666,0.004965278,1168.9,19.48166666,0.4375,0.645833333,27,40,90,m,open,,,RAAU,,l,,,,,,,40,40,41035,0.755150463,U,5430690,313855,49.00098063,-125.5451303
LS4,41036,41035.75764,41036.57156,0.004965278,1172.05,19.53416666,0.4375,0.645833333,28,41,102,m,open,,beside ledge,CADDISFLY,,l,,,,,,,41,41,41035,0.757638889,U,5430701,313844,49.00107616,-125.5452855
LS4,41036,41035.75972,41036.57653,,1176.2,19.60333333,0.4375,0.645833333,29,42,80,m,lily,,,RAAU,,l,,,,,,,42,42,41035,0.759826389,U,5430687,313842,49.00094974,-125.5453064
LS4,41036,41035.75972,41036.57653,0.004965278,1176.2,19.60333333,0.4375,0.645833333,29,42,80,m,lily,,,RAAU,,l,,,,,,,42,42,41035,0.759826389,U,5430687,313842,49.00094974,-125.5453064
LS4,41036,41035.76111,41036.58149,,1181.35,19.68916666,0.4375,0.645833333,30,43,72,m,mixed,sparse,,TSB,,,52,2,,,,,43,43,41035,0.761770833,U,5430684,313836,49.00092097,-125.545387
LS4,41036,41035.76111,41036.58149,,1181.35,19.68916666,0.4375,0.645833333,30,43,72,m,mixed,sparse,,TSB,,,44,2.5,,,,,43,43,41035,0.761770833,U,5430684,313836,49.00092097,-125.545387
LS4,41036,41035.76111,41036.58149,,1181.35,19.68916666,0.4375,0.645833333,30,43,72,m,mixed,sparse,,TSB,,,39,1,,,,,43,43,41035,0.761770833,U,5430684,313836,49.00092097,-125.545387
LS4,41036,41035.76111,41036.58149,,1181.35,19.68916666,0.4375,0.645833333,30,43,72,m,mixed,sparse,,TSB,,,,,,,,,43,43,41035,0.761770833,U,5430684,313836,49.00092097,-125.545387
LS4,41036,41035.76111,41036.58149,0.004965278,1181.35,19.68916666,0.4375,0.645833333,30,43,72,m,mixed,sparse,,RAAU,,l,,,,,,,43,43,41035,0.761770833,U,5430684,313836,49.00092097,-125.545387
LS4,41036,41035.76389,41036.58646,0.004965278,1184.5,19.74166666,0.4375,0.645833333,31,44,86,m,"grass, watershield",,,TSB,,,,,,,,,44,44,41035,0.764166667,U,5430674,313844,49.00083352,-125.5452732
LS4,41036,41035.76528,41036.59142,,1189.65,19.8275,0.4375,0.645833333,32,45,74,m,"lily, grass",sparse,,TSB,,,,,,,,,45,45,41035,0.765335648,U,5430672,313834,49.00081252,-125.5454088
LS4,41036,41035.76528,41036.59142,,1189.65,19.8275,0.4375,0.645833333,32,45,74,m,"lily, grass",sparse,,RAAU,,l,,,,,,,45,45,41035,0.765335648,U,5430672,313834,49.00081252,-125.5454088
LS4,41036,41035.76528,41036.59142,0.004965278,1189.65,19.8275,0.4375,0.645833333,32,45,74,m,"lily, grass",sparse,,RAAUDEAD,,l,,,,,4775-76,might have been partly eaten,45,45,41035,0.765335648,U,5430672,313834,49.00081252,-125.5454088
LS4,41036,41035.76736,41036.59639,,1193.8,19.89666666,0.4375,0.645833333,33,46,65,m,"lily, grass",dense,,RAAU,,l,,,,,,broken tail,46,46,41035,0.767789352,U,5430690,313834,49.00097428,-125.5454171
LS4,41036,41035.76736,41036.59639,,1193.8,19.89666666,0.4375,0.645833333,33,46,65,m,"lily, grass",dense,,RAAU,,l,,,,,,,46,46,41035,0.767789352,U,5430690,313834,49.00097428,-125.5454171
LS4,41036,41035.76736,41036.59639,,1193.8,19.89666666,0.4375,0.645833333,33,46,65,m,"lily, grass",dense,,RAAU,,l,,,,,,,46,46,41035,0.767789352,U,5430690,313834,49.00097428,-125.5454171
LS4,41036,41035.76736,41036.59639,,1193.8,19.89666666,0.4375,0.645833333,33,46,65,m,"lily, grass",dense,,RAAU,,l,,,,,,,46,46,41035,0.767789352,U,5430690,313834,49.00097428,-125.5454171
LS4,41036,41035.76736,41036.59639,0.004965278,1193.8,19.89666666,0.4375,0.645833333,33,46,65,m,"lily, grass",dense,,RAAU,,l,,,,,,,46,46,41035,0.767789352,U,5430690,313834,49.00097428,-125.5454171
LS4,41036,41035.76944,41036.60135,,1197.95,19.96583333,0.4375,0.645833333,34,47,78,m,"lily, watershield",,under log,RAAU,,l,,,,,,,47,47,41035,0.769513889,U,5430686,313830,49.00093713,-125.5454699
LS4,41036,41035.76944,41036.60135,,1197.95,19.96583333,0.4375,0.645833333,34,47,78,m,"lily, watershield",,under log,RAAU,,l,,,,,,,47,47,41035,0.769513889,U,5430686,313830,49.00093713,-125.5454699
LS4,41036,41035.76944,41036.60135,,1197.95,19.96583333,0.4375,0.645833333,34,47,78,m,"lily, watershield",,under log,RAAU,,l,,,,,,,47,47,41035,0.769513889,U,5430686,313830,49.00093713,-125.5454699
LS4,41036,41035.76944,41036.60135,,1197.95,19.96583333,0.4375,0.645833333,34,47,78,m,"lily, watershield",,under log,RAAU,,l,,,,,,,47,47,41035,0.769513889,U,5430686,313830,49.00093713,-125.5454699
LS4,41036,41035.76944,41036.60135,,1197.95,19.96583333,0.4375,0.645833333,34,47,78,m,"lily, watershield",,under log,TSB,,,,,,,,,47,47,41035,0.769513889,U,5430686,313830,49.00093713,-125.5454699
LS4,41036,41035.76944,41036.60135,,1197.95,19.96583333,0.4375,0.645833333,34,47,78,m,"lily, watershield",,under log,TSB,,,,,,,,,47,47,41035,0.769513889,U,5430686,313830,49.00093713,-125.5454699
LS4,41036,41035.76944,41036.60135,0.004965278,1197.95,19.96583333,0.4375,0.645833333,34,47,78,m,"lily, watershield",,under log,TSB,,,,,,,,,47,47,41035,0.769513889,U,5430686,313830,49.00093713,-125.5454699
LS4,41036,41035.77083,41036.60632,,1203.1,20.05166666,0.4375,0.645833333,35,48,67,m,grass,dense,,TSB,,,,,,,,,48,48,41035,0.771319444,U,5430667,313829,49.00076608,-125.5454748
LS4,41036,41035.77083,41036.60632,,1203.1,20.05166666,0.4375,0.645833333,35,48,67,m,grass,dense,,TSB,,,,,,,,,48,48,41035,0.771319444,U,5430667,313829,49.00076608,-125.5454748
LS4,41036,41035.77083,41036.60632,0.004965278,1203.1,20.05166666,0.4375,0.645833333,35,48,67,m,grass,dense,,RAAU,,l,,,,,,,48,48,41035,0.771319444,U,5430667,313829,49.00076608,-125.5454748
LS4,41036,41035.77222,41036.61128,0.004965278,1208.25,20.1375,0.4375,0.645833333,36,49,70,m,grass,dense,,TSB,,,65,3,,,,,49,49,41035,0.772511574,U,5430665,313825,49.00074689,-125.5455286
LS4,41036,41035.77431,41036.61625,0.004965278,1212.4,20.20666666,0.4375,0.645833333,37,50,55,m,grass,dense,,TAGR,M,a,135,5,55,80,,,50,50,41035,0.774340278,U,5430650,313832,49.00061421,-125.5454261
LS4,41036,41035.775,41036.62122,,1218.55,20.30916666,0.4375,0.645833333,38,51,81,m,"lily, grass",sparse,,RAAU,,,,,,,,,51,51,41035,0.775659722,U,5430663,313822,49.00072801,-125.5455686
LS4,41036,41035.775,41036.62122,,1218.55,20.30916666,0.4375,0.645833333,38,51,81,m,"lily, grass",sparse,,RAAU,,,,,,,,,51,51,41035,0.775659722,U,5430663,313822,49.00072801,-125.5455686
LS4,41036,41035.775,41036.62122,,1218.55,20.30916666,0.4375,0.645833333,38,51,81,m,"lily, grass",sparse,,RAAU,,,,,,,,,51,51,41035,0.775659722,U,5430663,313822,49.00072801,-125.5455686
LS4,41036,41035.775,41036.62122,,1218.55,20.30916666,0.4375,0.645833333,38,51,81,m,"lily, grass",sparse,,RAAU,,,,,,,,,51,51,41035,0.775659722,U,5430663,313822,49.00072801,-125.5455686
LS4,41036,41035.775,41036.62122,,1218.55,20.30916666,0.4375,0.645833333,38,51,81,m,"lily, grass",sparse,,TSB,,,,,,,,,51,51,41035,0.775659722,U,5430663,313822,49.00072801,-125.5455686
LS4,41036,41035.775,41036.62122,,1218.55,20.30916666,0.4375,0.645833333,38,51,81,m,"lily, grass",sparse,,TSB,,,,,,,,,51,51,41035,0.775659722,U,5430663,313822,49.00072801,-125.5455686
